tas,"	Year", Month, Country, ISO3, ISO2
-0.3733,1901,1,AFG,,
1.84612,1901,2,AFG,,
9.23457,1901,3,AFG,,
13.6544,1901,4,AFG,,
18.287,1901,5,AFG,,
22.879,1901,6,AFG,,
25.5623,1901,7,AFG,,
23.5002,1901,8,AFG,,
19.274,1901,9,AFG,,
11.4346,1901,10,AFG,,
8.0507,1901,11,AFG,,
3.88888,1901,12,AFG,,
1.96706,1902,1,AFG,,
1.85271,1902,2,AFG,,
7.99849,1902,3,AFG,,
12.77,1902,4,AFG,,
19.1915,1902,5,AFG,,
23.8497,1902,6,AFG,,
25.343,1902,7,AFG,,
24.3702,1902,8,AFG,,
18.9983,1902,9,AFG,,
12.8586,1902,10,AFG,,
7.68738,1902,11,AFG,,
3.16502,1902,12,AFG,,
-1.7511,1903,1,AFG,,
2.47908,1903,2,AFG,,
2.24446,1903,3,AFG,,
10.7437,1903,4,AFG,,
17.362,1903,5,AFG,,
24.1631,1903,6,AFG,,
25.219,1903,7,AFG,,
24.4285,1903,8,AFG,,
19.9834,1903,9,AFG,,
13.9257,1903,10,AFG,,
5.68476,1903,11,AFG,,
0.6224,1903,12,AFG,,
-5.2113,1904,1,AFG,,
4.12545,1904,2,AFG,,
7.43655,1904,3,AFG,,
12.2039,1904,4,AFG,,
18.2132,1904,5,AFG,,
22.8657,1904,6,AFG,,
25.1428,1904,7,AFG,,
24.0478,1904,8,AFG,,
19.0451,1904,9,AFG,,
11.5977,1904,10,AFG,,
8.40105,1904,11,AFG,,
3.56588,1904,12,AFG,,
-1.7788,1905,1,AFG,,
-1.0173,1905,2,AFG,,
4.12977,1905,3,AFG,,
13.3185,1905,4,AFG,,
19.4067,1905,5,AFG,,
24.0443,1905,6,AFG,,
25.899,1905,7,AFG,,
23.9261,1905,8,AFG,,
18.7032,1905,9,AFG,,
13.7634,1905,10,AFG,,
7.42001,1905,11,AFG,,
1.85269,1905,12,AFG,,
-0.4704,1906,1,AFG,,
0.09142,1906,2,AFG,,
6.68905,1906,3,AFG,,
11.0965,1906,4,AFG,,
18.802,1906,5,AFG,,
23.8972,1906,6,AFG,,
25.2838,1906,7,AFG,,
24.982,1906,8,AFG,,
19.1021,1906,9,AFG,,
14.1473,1906,10,AFG,,
8.27635,1906,11,AFG,,
3.98833,1906,12,AFG,,
1.03514,1907,1,AFG,,
0.6064,1907,2,AFG,,
6.76733,1907,3,AFG,,
13.3308,1907,4,AFG,,
16.1676,1907,5,AFG,,
21.668,1907,6,AFG,,
25.572,1907,7,AFG,,
23.6219,1907,8,AFG,,
19.0646,1907,9,AFG,,
11.3323,1907,10,AFG,,
6.0122,1907,11,AFG,,
2.28007,1907,12,AFG,,
1.04489,1908,1,AFG,,
1.78246,1908,2,AFG,,
5.87222,1908,3,AFG,,
12.4651,1908,4,AFG,,
16.9495,1908,5,AFG,,
23.5442,1908,6,AFG,,
25.6888,1908,7,AFG,,
23.7998,1908,8,AFG,,
18.5869,1908,9,AFG,,
11.4533,1908,10,AFG,,
7.33666,1908,11,AFG,,
1.68981,1908,12,AFG,,
-1.5738,1909,1,AFG,,
1.77057,1909,2,AFG,,
7.72897,1909,3,AFG,,
13.8166,1909,4,AFG,,
17.5006,1909,5,AFG,,
23.0761,1909,6,AFG,,
24.5972,1909,7,AFG,,
24.0002,1909,8,AFG,,
18.2474,1909,9,AFG,,
12.5438,1909,10,AFG,,
9.27174,1909,11,AFG,,
2.55529,1909,12,AFG,,
0.30305,1910,1,AFG,,
2.62844,1910,2,AFG,,
5.31334,1910,3,AFG,,
11.3968,1910,4,AFG,,
18.5924,1910,5,AFG,,
22.6041,1910,6,AFG,,
24.7599,1910,7,AFG,,
23.6471,1910,8,AFG,,
18.1758,1910,9,AFG,,
12.6413,1910,10,AFG,,
5.87963,1910,11,AFG,,
-1.3975,1910,12,AFG,,
-2.0367,1911,1,AFG,,
2.87514,1911,2,AFG,,
5.8071,1911,3,AFG,,
12.0084,1911,4,AFG,,
18.2981,1911,5,AFG,,
23.9442,1911,6,AFG,,
24.6369,1911,7,AFG,,
23.9156,1911,8,AFG,,
19.3734,1911,9,AFG,,
12.0119,1911,10,AFG,,
5.0375,1911,11,AFG,,
1.38017,1911,12,AFG,,
0.29797,1912,1,AFG,,
4.59834,1912,2,AFG,,
7.00423,1912,3,AFG,,
13.2705,1912,4,AFG,,
18.0393,1912,5,AFG,,
23.6605,1912,6,AFG,,
25.8343,1912,7,AFG,,
23.3119,1912,8,AFG,,
17.389,1912,9,AFG,,
13.6335,1912,10,AFG,,
5.91691,1912,11,AFG,,
1.81994,1912,12,AFG,,
1.90513,1913,1,AFG,,
-0.002,1913,2,AFG,,
4.70436,1913,3,AFG,,
11.5394,1913,4,AFG,,
19.3057,1913,5,AFG,,
22.9523,1913,6,AFG,,
25.5814,1913,7,AFG,,
23.0872,1913,8,AFG,,
18.6048,1913,9,AFG,,
13.5338,1913,10,AFG,,
7.03446,1913,11,AFG,,
3.48012,1913,12,AFG,,
3.94511,1914,1,AFG,,
0.96092,1914,2,AFG,,
6.86249,1914,3,AFG,,
13.5036,1914,4,AFG,,
18.4027,1914,5,AFG,,
24.9222,1914,6,AFG,,
25.3797,1914,7,AFG,,
23.7699,1914,8,AFG,,
20.1292,1914,9,AFG,,
13.4357,1914,10,AFG,,
8.01051,1914,11,AFG,,
0.51437,1914,12,AFG,,
1.81718,1915,1,AFG,,
1.48254,1915,2,AFG,,
10.5579,1915,3,AFG,,
12.7772,1915,4,AFG,,
20.3081,1915,5,AFG,,
24.282,1915,6,AFG,,
25.2888,1915,7,AFG,,
25.3384,1915,8,AFG,,
20.3718,1915,9,AFG,,
13.307,1915,10,AFG,,
8.462,1915,11,AFG,,
3.10823,1915,12,AFG,,
2.23321,1916,1,AFG,,
0.11685,1916,2,AFG,,
7.925,1916,3,AFG,,
13.6179,1916,4,AFG,,
17.7598,1916,5,AFG,,
21.6418,1916,6,AFG,,
25.2569,1916,7,AFG,,
25.2083,1916,8,AFG,,
19.0453,1916,9,AFG,,
11.7837,1916,10,AFG,,
2.88111,1916,11,AFG,,
2.20287,1916,12,AFG,,
3.2977,1917,1,AFG,,
5.1894,1917,2,AFG,,
7.49938,1917,3,AFG,,
13.3534,1917,4,AFG,,
19.1702,1917,5,AFG,,
23.5327,1917,6,AFG,,
25.0079,1917,7,AFG,,
23.3479,1917,8,AFG,,
18.3276,1917,9,AFG,,
11.6904,1917,10,AFG,,
5.74753,1917,11,AFG,,
1.62753,1917,12,AFG,,
0.34294,1918,1,AFG,,
2.42442,1918,2,AFG,,
5.80772,1918,3,AFG,,
10.1929,1918,4,AFG,,
18.4572,1918,5,AFG,,
21.7053,1918,6,AFG,,
24.8293,1918,7,AFG,,
22.9946,1918,8,AFG,,
18.8986,1918,9,AFG,,
13.2739,1918,10,AFG,,
4.89176,1918,11,AFG,,
-1.0042,1918,12,AFG,,
-3.3563,1919,1,AFG,,
2.68587,1919,2,AFG,,
6.40951,1919,3,AFG,,
13.0796,1919,4,AFG,,
16.4461,1919,5,AFG,,
22.1427,1919,6,AFG,,
24.7707,1919,7,AFG,,
23.5869,1919,8,AFG,,
17.5319,1919,9,AFG,,
12.736,1919,10,AFG,,
6.39786,1919,11,AFG,,
1.86078,1919,12,AFG,,
1.37903,1920,1,AFG,,
-1.045,1920,2,AFG,,
7.78193,1920,3,AFG,,
10.513,1920,4,AFG,,
16.3113,1920,5,AFG,,
